job_title,salary_min,salary_max,company_name,rating,location_city,location_state,hq_city,hq_state,founded,industry
"Data Engineer, BI Engineering (Python/SQL)",73000,94000,Vimeo,3.9,New York, NY,New York, NY,2004,Internet
Data Engineer,73000,94000,Amazon,3.9,New York, NY,Seattle, WA,1994,Internet
Senior Data Engineer,85000,154000,Affinity Solutions,3.0,New York, NY,New York, NY,1998,Advertising & Marketing
Data Engineer,85000,154000,NJF Global Holdings,4.2,New York, NY,London, United Kingdom,2003,Staffing & Outsourcing
Data Engineer,85000,154000,Millennium,3.9,New York, NY,New York, NY,1989,Investment Banking & Asset Management
Data Engineer,85000,154000,Bloomberg,3.8,New York, NY,New York, NY,1981,Computer Hardware & Software
Data Engineer,85000,154000,Nasdaq,3.6,New York, NY,New York, NY,1971,Stock Exchanges
Software Engineer - Data Platform,85000,154000,Balyasny Asset Management,3.9,New York, NY,Chicago, IL,2001,Investment Banking & Asset Management
Data Engineer,85000,154000,National Basketball Association,3.8,Secaucus, NJ,New York, NY,1946,Sports & Recreation
"Technical Lead, Data Engineering",85000,154000,Teachers Pay Teachers,4.9,New York, NY,New York, NY,2006,Internet
Data Engineer,85000,154000,Datadog,4.1,New York, NY,New York, NY,2010,Computer Hardware & Software
Data Engineer (Python),85000,154000,Millennium,3.9,New York, NY,New York, NY,1989,Investment Banking & Asset Management
Principal Front-End UI Engineer - Data Cloud,85000,154000,Veeva Systems,3.5,New York, NY,Pleasanton, CA,2007,Enterprise Software & Network Solutions
"Data Engineer, Analytics (Instagram Ecosystems)",85000,154000,Facebook,4.5,New York, NY,Menlo Park, CA,2004,Internet
Data Engineer,85000,154000,Hudson River Trading,5.0,New York, NY,New York, NY,2002,Financial Analytics & Research
Data Engineer,85000,154000,LaBine & Associates,5.0,New York, NY,San Mateo, CA,2013,Staffing & Outsourcing
Data Engineer,85000,154000,New York Life Insurance Co,3.6,New York, NY,New York, NY,1845,Insurance Agencies & Brokerages
Data Engineer,85000,154000,BrainPOP,4.3,New York, NY,New York, NY,1999,K-12 Education
Data Engineer,85000,154000,Quadpay,3.2,New York, NY,New York, NY,2018,Financial Transaction Processing
Sr. Data Engineer,85000,154000,Walt Disney Co.,4.0,New York, NY,Burbank, CA,1923,Motion Picture Production & Distribution
Data Engineer,85000,154000,Caserta,4.3,New York, NY,New York, NY,2001,IT Services
Data Engineer (Spark),85000,154000,Elevano,4.5,New York, NY,Irvine, CA,2009,Staffing & Outsourcing
Backend/Data Engineer - Data Insights,85000,154000,Spotify,3.8,New York, NY,Stockholm, Sweden,2006,Internet
Senior Data Engineer - Healthcare Project Management,85000,154000,Aetna,3.3,New York, NY,Hartford, CT,1853,Insurance Carriers
Data Engineer,85000,154000,Blue State,3.4,New York, NY,Brooklyn, NY,2004,Advertising & Marketing
Data Engineer,85000,154000,Atyeti,4.4,New York, NY,Princeton, NJ,2008,IT Services
Cloud/Data Engineer,85000,154000,Nasdaq,3.6,New York, NY,New York, NY,1971,Stock Exchanges
Data Engineer,85000,154000,American Modern Insurance Group,3.5,New York, NY,Amelia, OH,1994,Insurance Carriers
Data Engineer - Health Data Engineering,84000,113000,Twitter,4.0,New York, NY,San Francisco, CA,2006,Internet
Software Engineer - Data Engineering,84000,113000,Addepar,4.4,New York, NY,Mountain View, CA,2009,Enterprise Software & Network Solutions
Data Visualization Engineer,84000,113000,Point72,3.9,New York, NY,Stamford, CT,2014,Investment Banking & Asset Management
Data Engineer,84000,113000,Millennium Partners,5.0,New York, NY,San Francisco, CA,1991,Real Estate
"Engineer, Data",84000,113000,"Pandora Media, Inc.",3.5,New York, NY,Oakland, CA,2000,Radio
Data Engineer,84000,113000,Novantas,2.9,New York, NY,New York, NY,1999,Financial Analytics & Research
Data Engineer,84000,113000,FanDuel,3.9,New York, NY,New York, NY,2009,Sports & Recreation
Data Engineer,84000,113000,Munich Re,3.7,New York, NY,Munich, Germany,1880,Insurance Carriers
Data Engineer,84000,113000,Ladders,4.0,New York, NY,New York, NY,2003,Internet
"Data Engineer, Analytics",84000,113000,Facebook,4.5,New York, NY,Menlo Park, CA,2004,Internet
Data Engineer,84000,113000,J.P. Morgan,3.9,Newark, NJ,New York, NY,1799,Investment Banking & Asset Management
Senior Data Engineer,84000,113000,The Boston Consulting Group,4.3,New York, NY,Boston, MA,1963,Consulting
Data Engineer - Royalties,84000,113000,Spotify,3.8,New York, NY,Stockholm, Sweden,2006,Internet
Data Engineer,84000,113000,ERGO Group,3.3,New York, NY,Dublin, Ireland,1993,Enterprise Software & Network Solutions
Data Engineer,84000,113000,Progyny,4.0,New York, NY,New York, NY,2015,Health Care Services & Hospitals
"Software Engineer, Data Engineering",84000,113000,FourSquare,2.5,New York, NY,New York, NY,2009,Internet
Data Engineer,84000,113000,TelTech,4.8,New York, NY,South Amboy, NJ,2005,Telecommunications Services
Senior Data Engineer,84000,113000,HelloFresh,3.4,New York, NY,Berlin, Germany,2011,"Health, Beauty, & Fitness"
Data Engineer,84000,113000,Fivesky,4.7,New York, NY,New York, NY,2012,Enterprise Software & Network Solutions
Data Engineer - (11211),84000,113000,Getty Images,2.8,New York, NY,Seattle, WA,1995,Photography
Software Engineer - Data,84000,113000,PlaceIQ,3.4,New York, NY,New York, NY,2010,Computer Hardware & Software
Data Center Engineer,57000,75000,Jane Street,4.8,New York, NY,New York, NY,2000,Investment Banking & Asset Management
Principal Software Engineer - Data Cloud,57000,75000,Veeva Systems,3.5,New York, NY,Pleasanton, CA,2007,Enterprise Software & Network Solutions
"Data Engineer, Advertising Analytics",57000,75000,Amazon,3.9,New York, NY,Seattle, WA,1994,Internet
Senior Data Engineer,57000,75000,Tapad,4.2,New York, NY,New York, NY,2010,Internet
Data Analytics Engineer,57000,75000,Nokia,4.1,New York, NY,Nokia, Finland,1865,Telecommunications Services
"Data Engineer, Game Analytics",57000,75000,Rockstar Games,4.0,New York, NY,New York, NY,1998,Video Games
Data Engineer,57000,75000,ApTask,3.9,New York, NY,Iselin, NJ,2010,IT Services
"Data Engineer, Enterprise Data Services",57000,75000,City of New York,3.4,New York, NY,New York, NY,1625,Municipal Governments
Data Engineer,57000,75000,AllianceBernstein,3.2,New York, NY,New York, NY,1967,Investment Banking & Asset Management
Data Engineer - Personalization,57000,75000,Spotify,3.8,New York, NY,Stockholm, Sweden,2006,Internet
"Data Engineer, Digital and Computational Pathology",57000,75000,Memorial Sloan-Kettering,3.9,New York, NY,New York, NY,1884,Health Care Services & Hospitals
Data Engineer,57000,75000,Docker,2.9,New York, NY,San Francisco, CA,2013,Computer Hardware & Software
Data Engineer,57000,75000,Simon Data,4.5,New York, NY,New York, NY,2015,Computer Hardware & Software
Software Development Engineer,57000,75000,Red Balloon Security,4.4,New York, NY,New York, NY,2011,Computer Hardware & Software
Sr. Data Engineer,57000,75000,The Farmer's Dog,4.9,New York, NY,New York, NY,2014,Food Production
Data Engineer,57000,75000,CGI,3.5,Bloomfield, NJ,Montreal, Canada,1976,Consulting
Machine Learning & Data Engineer (Remote),57000,75000,Jun Group Productions LLC,4.7,New York, NY,New York, NY,2005,Internet
Data Engineer,57000,75000,Virtual Clarity,3.2,New York, NY,London, United Kingdom,2008,IT Services
Data Engineer,57000,75000,ingenium.agency,5.0,New York, NY,New York, NY,2016,Staffing & Outsourcing
Data Engineer,105000,121000,PulsePoint,4.4,New York, NY,New York, NY,2011,Internet
Senior Data Engineer,105000,121000,Flatiron Health,4.0,New York, NY,New York, NY,2012,Enterprise Software & Network Solutions
Data Engineer (Python),105000,121000,ingenium.agency,5.0,New York, NY,New York, NY,2016,Staffing & Outsourcing
Data Engineer,105000,121000,Russell Tobin & Associates,3.5,New York, NY,New York, NY,2010,Staffing & Outsourcing
Data Engineer,105000,121000,Global Atlantic Financial Group,4.5,New York, NY,New York, NY,2004,Insurance Carriers
Data Engineer,105000,121000,Diverse Lynx,3.9,New York, NY,Princeton, NJ,2002,IT Services
Data Engineer,105000,121000,SIMON Markets LLC,5.0,New York, NY,New York, NY,2018,Financial Analytics & Research
Data Engineer,105000,121000,"Madison Logic, Inc.",3.9,New York, NY,New York, NY,2005,Advertising & Marketing
Data Engineer,105000,121000,Vydia,4.4,Holmdel, NJ,Holmdel, NJ,2013,Music Production & Distribution
Data Engineer,105000,121000,"Resource Logistics, Inc.",4.7,New York, NY,Edison, NJ,1997,Logistics & Supply Chain
Data Engineer,105000,121000,Averity,5.0,New York, NY,New York, NY,2014,Staffing & Outsourcing
Data Engineer,105000,121000,Cross River Bank,3.3,Fort Lee, NJ,Fort Lee, NJ,2008,Banks & Credit Unions
Data Engineer,105000,121000,Allied World Assurance,3.2,New York, NY,Zug, Switzerland,2001,Insurance Carriers
Data Engineer - Talent Pool,92000,117000,Colgate-Palmolive,4.1,New York, NY,New York, NY,1806,Consumer Products Manufacturing
Senior Data Engineer - 70570BR,92000,117000,Aetna,3.3,New York, NY,Hartford, CT,1853,Insurance Carriers
Data Engineer,92000,117000,Apex Systems,3.8,New York, NY,Glen Allen, VA,1995,Staffing & Outsourcing
Senior Software Engineer - Data Engineering,92000,117000,Squarespace,3.4,New York, NY,New York, NY,2003,Internet
Senior Data Engineer,92000,117000,SADA,4.7,New York, NY,North Hollywood, CA,2000,IT Services
Data Reliability Engineer,88000,136000,Hulu,3.8,Santa Monica, CA,Santa Monica, CA,2007,TV Broadcast & Cable Networks
Data Engineer,88000,136000,Albert (CA),5.0,Los Angeles, CA,Culver City, CA,2015,Financial Analytics & Research
Data Engineer,88000,136000,SADA,4.7,Los Angeles, CA,North Hollywood, CA,2000,IT Services
Data Engineer,88000,136000,CrowdRise,4.5,Los Angeles, CA,Redwood City, CA,2010,Internet
Data Engineer,88000,136000,Age of Learning,3.3,Glendale, CA,Glendale, CA,2007,K-12 Education
"Software Engineer, Data",88000,136000,Ring,3.1,Hawthorne, CA,Santa Monica, CA,2012,Computer Hardware & Software
Business Intelligence (BI) Engineer,88000,136000,Spokeo,3.2,Pasadena, CA,Los Angeles, CA,2006,Internet
Solution Engineer,88000,136000,Internap Network Services,3.1,Los Angeles, CA,Atlanta, GA,1996,Internet
"Senior Data Engineer, Content Data Engineering",88000,136000,Netflix,4.0,Los Angeles, CA,Los Gatos, CA,1997,Internet
Data Engineer,88000,136000,Idealab,4.0,Pasadena, CA,Pasadena, CA,2006,Investment Banking & Asset Management
Data Engineer,88000,136000,Sumeru,4.2,Los Angeles, CA,Washington, DC,2003,IT Services
Data Engineer,88000,136000,J. Paul Getty Trust,3.6,Los Angeles, CA,Los Angeles, CA,1954,Grantmaking Foundations
Data Engineer,88000,136000,Mondo,3.8,Los Angeles, CA,New York, NY,2000,Staffing & Outsourcing
Data Engineer,88000,136000,BlackLine,3.9,Woodland Hills, CA,Woodland Hills, CA,2001,Computer Hardware & Software
Data Engineer,88000,136000,Warner Bros. Entertainment,3.9,Burbank, CA,Burbank, CA,1923,Motion Picture Production & Distribution
Data Engineer,88000,136000,NTT DATA,3.4,Anaheim, CA,Tokyo, Japan,1967,IT Services
Data Engineer / Data Scientist - Contributor,88000,136000,Hyperloop Transportation Technologies,4.5,Los Angeles, CA,Los Angeles, CA,2013,Transportation Management
Data Engineer,88000,136000,Tapcart,5.0,Santa Monica, CA,Santa Monica, CA,2017,Enterprise Software & Network Solutions
Data Engineer,88000,136000,VMware,4.2,Los Angeles, CA,Palo Alto, CA,1998,Computer Hardware & Software
Data Engineer,88000,136000,NBCUniversal,3.8,Universal City, CA,New York, NY,1906,TV Broadcast & Cable Networks
Data Ops Engineer,88000,136000,Neustar,3.7,Los Angeles, CA,Sterling, VA,1996,Internet
Data Engineer,88000,136000,Sense360,5.0,Culver City, CA,Culver City, CA,2014,Enterprise Software & Network Solutions
Data Engineer,88000,136000,TrueCar,2.7,Santa Monica, CA,Santa Monica, CA,2005,Internet
Senior Data Engineer,88000,136000,Aetion,4.5,Los Angeles, CA,New York, NY,2013,Computer Hardware & Software
Senior Data Engineer,88000,136000,Dave,4.3,Los Angeles, CA,Los Angeles, CA,2016,Banks & Credit Unions
"Sales Engineer, Data Analytics, Google Cloud",88000,136000,Google,4.4,Los Angeles, CA,Mountain View, CA,1998,Internet
Data Engineer,95000,167000,SADA,4.7,Los Angeles, CA,North Hollywood, CA,2000,IT Services
Data / ETL Engineer,95000,167000,DRINKS,4.1,Los Angeles, CA,Los Angeles, CA,2013,Food & Beverage Stores
Electrical Engineer/Battery Specialist,95000,167000,Exponent,3.5,Los Angeles, CA,Menlo Park, CA,1967,Consulting
Data Engineer,95000,167000,Cedars-Sinai,3.9,Los Angeles, CA,Los Angeles, CA,1902,Health Care Services & Hospitals
Junior Data Engineer,95000,167000,Ipsos,3.2,Culver City, CA,Paris, France,1975,Consulting
Data Engineer,95000,167000,Mt. San Antonio College,4.4,Walnut, CA,Walnut, CA,1946,Colleges & Universities
Sr. Software Engineer,95000,167000,mGage,3.8,Los Angeles, CA,Atlanta, GA,2002,Enterprise Software & Network Solutions
Senior Analytics Engineer - Studio Finance Data Science & Engineering,95000,167000,"Netflix, Inc.",4.0,Los Angeles, CA,Los Gatos, CA,1997,Internet
Data Engineer,95000,167000,Prosum,4.0,Los Angeles, CA,El Segundo, CA,1996,IT Services
Data Analyst,95000,167000,Signal Sciences,4.1,Los Angeles, CA,Culver City, CA,2014,Enterprise Software & Network Solutions
Data Engineer,95000,167000,"Analog Devices, Inc.",3.9,Wilmington, CA,Norwood, MA,1965,Electrical & Electronic Manufacturing
Data Engineer,95000,167000,ingenium.agency,5.0,Los Angeles, CA,New York, NY,2016,Staffing & Outsourcing
"Software Engineer, Data",95000,167000,Foursquare,2.5,Los Angeles, CA,New York, NY,2009,Internet
Data Engineer,95000,167000,TEEMA,4.7,Los Angeles, CA,Litchfield Park, AZ,2008,Staffing & Outsourcing
Data Engineer,95000,167000,NortonLifeLock,3.7,Culver City, CA,Tempe, AZ,2019,Internet
Data Engineer,95000,167000,Agilisium LLC,4.8,Los Angeles, CA,Westlake Village, CA,2012,IT Services
Senior Software Engineer (Java/Spring),95000,167000,Greenlots,3.4,Los Angeles, CA,Los Angeles, CA,2008,Energy
Data Engineer,95000,167000,CyberCoders,4.2,Pasadena, CA,Irvine, CA,1999,Staffing & Outsourcing
Data Engineer,95000,167000,ViacomCBS,3.6,Los Angeles, CA,New York, NY,2019,Motion Picture Production & Distribution
Data Engineer - HBO Max,95000,167000,Warner Media LLC,3.7,Los Angeles, CA,New York, NY,2003,TV Broadcast & Cable Networks
Data Engineer,95000,167000,Turner Broadcasting,3.7,Burbank, CA,New York, NY,2003,TV Broadcast & Cable Networks
Data Engineer,79000,146000,Age of Learning,3.3,Glendale, CA,Glendale, CA,2007,K-12 Education
"Software Engineer, Data",79000,146000,Ring,3.1,Hawthorne, CA,Santa Monica, CA,2012,Computer Hardware & Software
Data Engineer,79000,146000,Techstyle Group LLC,3.1,El Segundo, CA,El Segundo, CA,2010,"Department, Clothing, & Shoe Stores"
Cloud Infrastructure Engineer,79000,146000,Wpromote,4.1,El Segundo, CA,El Segundo, CA,2001,Advertising & Marketing
Network Operations Engineer,79000,146000,China Unicom,3.5,Los Angeles, CA,Hong Kong, Hong Kong,2000,Telecommunications Services
Senior Data Engineer,79000,146000,Tech Holding,4.4,Los Angeles, CA,Glendale, CA,2016,IT Services
Engineer l/Engineer ll,79000,146000,Socalgas,4.4,Los Angeles, CA,Los Angeles, CA,1929,Utilities
Data Engineer,79000,146000,mPulse Mobile,3.7,Encino, CA,Encino, CA,2014,Health Care Services & Hospitals
Senior Data Engineer,79000,146000,Altruist,5.0,Los Angeles, CA,Venice, CA,2018,Brokerage Services
Senior Data Engineer,79000,146000,Relativity Space,5.0,Los Angeles, CA,Los Angeles, CA,2015,Aerospace & Defense
Senior Data Engineer,79000,146000,Steady Platform,3.6,Los Angeles, CA,Atlanta, GA,2017,Internet
Data Mining Engineer,79000,146000,Aviana Global Technologies,4.2,Brea, CA,Brea, CA,1994,IT Services
Experienced RF/Microwave Engineer,79000,146000,BOEING,3.7,Los Angeles, CA,Chicago, IL,1916,Aerospace & Defense
"Staff Data Engineer, MarTech",79000,146000,Dollar Shave Club,3.8,Marina del Rey, CA,Marina del Rey, CA,2011,Beauty & Personal Accessories Stores
Sr. Data Engineer,79000,146000,Warner Bros. Entertainment,3.9,Burbank, CA,Burbank, CA,1923,Motion Picture Production & Distribution
Planetary Data Engineer,79000,146000,Nasa Jet Propulsion Laboratory,4.3,Pasadena, CA,Pasadena, CA,1936,Federal Agencies
"Software Engineer, Data",79000,146000,Lab126,3.4,Hawthorne, CA,Sunnyvale, CA,2004,Computer Hardware & Software
"Enterprise Data Customer Engineer, Google Cloud",79000,146000,Google,4.4,Los Angeles, CA,Mountain View, CA,1998,Internet
Senior Data Engineer,79000,146000,"The RealReal, Inc.",2.5,Los Angeles, CA,San Francisco, CA,2011,Other Retail Stores
"Software Engineer, Data",79000,146000,Amazon,3.9,Hawthorne, CA,Seattle, WA,1994,Internet
Sr. Data Engineer - HBO Max,79000,146000,Warner Media LLC,3.7,Los Angeles, CA,New York, NY,2003,TV Broadcast & Cable Networks
Data Engineer,93000,106000,J. Paul Getty Trust,3.6,Los Angeles, CA,Los Angeles, CA,1954,Grantmaking Foundations
Data Engineer,93000,106000,BlackLine,3.9,Woodland Hills, CA,Woodland Hills, CA,2001,Computer Hardware & Software
"Sales Engineer, Data Management, Google Cloud",93000,106000,Google,4.4,Los Angeles, CA,Mountain View, CA,1998,Internet
Senior Data Engineer,93000,106000,Guess?,3.3,Los Angeles, CA,Los Angeles, CA,1981,"Department, Clothing, & Shoe Stores"
"Senior Engineer, Data",93000,106000,DineEquity,3.4,Glendale, CA,Glendale, CA,2007,Casual Restaurants
"Sr Engineer, Business Intelligence",93000,106000,LegalZoom,3.0,Glendale, CA,Glendale, CA,2001,Internet
Senior Data Engineer,93000,106000,Rakuten,3.5,Los Angeles, CA,Tokyo, Japan,1997,Internet
"Enterprise Infrastructure Customer Engineer, Google Cloud",93000,106000,Google,4.4,Los Angeles, CA,Mountain View, CA,1998,Internet
Backend Engineer,93000,106000,Bambee,4.3,Los Angeles, CA,Los Angeles, CA,2016,Building & Personnel Services
Senior Data Engineer,93000,106000,CyberCoders,4.2,Los Angeles, CA,Irvine, CA,1999,Staffing & Outsourcing
Senior Software Engineer - Artificial Intelligence Group,93000,106000,Nasa Jet Propulsion Laboratory,4.3,Pasadena, CA,Pasadena, CA,1936,Federal Agencies
Sr. Data Engineer,93000,106000,Turner Broadcasting,3.7,Burbank, CA,New York, NY,2003,TV Broadcast & Cable Networks
Software Engineer,93000,106000,The Play Station,3.5,Los Angeles, CA,San Mateo, CA,1994,Video Games
Sr Data Engineer,93000,106000,The Loot Company,2.1,Los Angeles, CA,Los Angeles, CA,2012,Other Retail Stores
Software Engineer - Full Stack,93000,106000,GoGuardian,4.2,El Segundo, CA,El Segundo, CA,2014,K-12 Education
Sr Full Stack Data Engineer,93000,106000,Warner Bros. Entertainment,3.9,Burbank, CA,Burbank, CA,1923,Motion Picture Production & Distribution
Big data engineer,93000,106000,"Resource Logistics, Inc.",4.7,Los Angeles, CA,Edison, NJ,1997,Logistics & Supply Chain
Technical Support Engineer - Digital Radiography (Southern California),93000,106000,NeuroLogica,2.6,Los Angeles, CA,Danvers, MA,2004,Health Care Products Manufacturing
Machine Learning Engineer,93000,106000,Fox Corporation,4.0,Los Angeles, CA,New York, NY,2019,TV Broadcast & Cable Networks
Sr. Terminal Systems Engineer,93000,106000,"ENSCO, Inc.",2.7,Los Angeles, CA,Springfield, VA,1969,Aerospace & Defense
Data Ops Engineer,115000,201000,Neustar,3.7,Los Angeles, CA,Sterling, VA,1996,Internet
"Senior Associate, Big Data Software Engineer",115000,201000,KPMG,3.9,Los Angeles, CA,Amstelveen, Netherlands,1987,Accounting
Software Engineer - Entry Level - Remote,115000,201000,Woz U,4.1,Long Beach, CA,Scottsdale, AZ,2017,Education Training Services
Senior Data Engineer - Information Security,115000,201000,Riot Games,3.9,Los Angeles, CA,Los Angeles, CA,2006,Video Games
Data Engineer- Customer Data Platform,115000,201000,Turner Broadcasting,3.7,Burbank, CA,New York, NY,2003,TV Broadcast & Cable Networks
Senior Data Warehouse Engineer : 20,115000,201000,Akraya Inc.,4.6,Los Angeles, CA,Santa Clara, CA,2001,Staffing & Outsourcing
Sr. Data Engineer (AWS),115000,201000,Prosum,4.0,Los Angeles, CA,El Segundo, CA,1996,IT Services
"Sr Engineer, Business Intelligence",115000,201000,LegalZoom,3.0,Glendale, CA,Glendale, CA,2001,Internet
Sr. Data Engineer,115000,201000,Activision Blizzard,3.6,Sherman Oaks, CA,Santa Monica, CA,1979,Video Games
Software Engineer,115000,201000,Aerotek,3.4,Pasadena, CA,Hanover, MD,1983,Staffing & Outsourcing
Python Data Engineer with GCP and Airflow,115000,201000,Larsen & Toubro Infotech Ltd.,3.5,Century City, CA,Mumbai, India,1997,IT Services
Data Engineer - IG Tech,115000,201000,Capital Group,3.9,Los Angeles, CA,Los Angeles, CA,1931,Investment Banking & Asset Management
Cloud Data Platform Engineer,115000,201000,Nasa Jet Propulsion Laboratory,4.3,Pasadena, CA,Pasadena, CA,1936,Federal Agencies
Senior Data Engineer,115000,201000,AltaMed,3.2,Anaheim, CA,Commerce, CA,1969,Health Care Services & Hospitals
Software Engineer (Leadership) - Infrastructure,115000,201000,Facebook,4.5,Los Angeles, CA,Menlo Park, CA,2004,Internet
Senior Data Engineer,115000,201000,ZipRecruiter,3.4,Santa Monica, CA,Santa Monica, CA,2010,Staffing & Outsourcing
Software Engineer,115000,201000,Epirus,5.0,Los Angeles, CA,El Segundo, CA,2018,Aerospace & Defense
Azure Data Engineer with Big Data,115000,201000,"VDart, Inc.",3.9,Los Angeles, CA,Alpharetta, GA,2007,IT Services
Software Engineer,115000,201000,Relativity Space,5.0,Los Angeles, CA,Los Angeles, CA,2015,Aerospace & Defense
Big Data Engineer (with Azure Data factory Exp),115000,201000,"Resource Logistics, Inc.",4.7,Los Angeles, CA,Edison, NJ,1997,Logistics & Supply Chain
Big Data Engineer (with Azure Data Exp),115000,201000,"Resource Logistics, Inc.",4.7,Los Angeles, CA,Edison, NJ,1997,Logistics & Supply Chain
Systems Integration Engineer,115000,201000,Thales,2.9,Pasadena, CA,Nanterre, France,2000,Aerospace & Defense
Data Engineer,94000,164000,Cedars-Sinai,3.9,Los Angeles, CA,Los Angeles, CA,1902,Health Care Services & Hospitals
"Principal Software Engineer, Front End",94000,164000,Boulevard,5.0,Los Angeles, CA,West Hollywood, CA,2016,Enterprise Software & Network Solutions
Big Data Engineer,94000,164000,PROLIM Global Corporation,3.3,Burbank, CA,Farmington Hills, MI,2005,Enterprise Software & Network Solutions
